											sum
TNC	0.69864	0.20498	0.18573	0.14005	0.11962	0.11605	0.11605	0.09844	0.06984	0.06709	1.81649
TOT	2.66149	1.69355	0.49839	0.35097	0.27088	0.19311	0.15822	0.1268	0.12435	0.11248	6.19024
TREX	0.52488	0.25738	0.20534	0.18762	0.07552	0.05353	0.03148	0.02454	0.02106	0.02106	1.40241
TRIP	0.18336	0.01554	0.0072	0.0072	0.0072	0.0072	0.00472	0.00472	0.00408	0.00383	0.24505
TRUE 	2.24949	0.46828	0.27092	0.17236	0.17144	0.12975	0.10815	0.10749	0.08831	0.05801	3.8242
TSLA	22.37959	0.16456	0.12051	0.10672	0.03451	0.00575	0.00514	0.00465	0.00465	0.00211	22.82819
TTS	12.71369	9.06258	2.43717	1.06485	0.59259	0.37036	0.13279	0.09743	0	0	26.47146
TTWO	0.61375	0.47008	0.13993	0.07707	0.03874	0.03338	0.01599	0.01062	0	0	1.39956
TUBE	5.1934	4.45979	2.20556	1.29503	0.41769	0.13427	0.05243	0.03689	0.02961	0.01958	13.84425
TUMI	2.51367	1.32121	0.04018	0.03635	0.00393	0.00393	0.00393	0.00074	0	0	3.92394
TWI	1.71423	1.35513	0.65023	0.20443	0.09292	0.07673	0.06505	0.05157	0.04182	0	4.25211
TWTR	6.9159	3.24971	0.6703	0.66703	0.19134	0.16006	0.14907	0.12969	0.12934	0.08624	12.34868
TXRH	8.68822	0.48963	0.13986	0.13917	0.09509	0.08699	0.07337	0.06102	0.01821	0.01452	9.80608
UA	16.58916	0.08068	0.04637	0.03802	0.0244	0.02371	0.02325	0.02167	0.02048	0.01906	16.8868
UBNT	65.1064	4.00052	0.29607	0.02962	0.0039	0	0	0	0	0	69.43651
UGI	0.24786	0.19179	0.08696	0.06179	0.04418	0.02889	0.01989	0.01698	0.01519	0.01447	0.728
UHAL	19.44999	17.63887	9.52102	7.26483	7.02483	1.70468	0.0306	0.01663	0.01207	0.01144	62.67496
UL	0.0741	0.0665	0.06255	0.005	0.00082	0.00061	0.00051	0.00041	0.00037	0.00036	0.21123
ULTA	0.77375	0.69562	0.13918	0.12874	0.05406	0.0259	0.00951	0.00685	0.0059	0.00512	1.84463
ULTI	1.12861	0.45036	0.42314	0.36112	0.28551	0.26917	0.19015	0.09213	0.08747	0.04817	3.33583
UNH	0.88268	0.31157	0.22838	0.09958	0.04922	0.01259	0.00565	0.00507	0.00358	0.00105	1.59937
UPL	0.85277	0.53029	0.03272	0.03269	0.02536	0.02024	0.0195	0.01595	0.01543	0	1.54495
UPS	0.03905	0.02039	0.01752	0.01125	0.01053	0.01033	0.00865	0.00628	0.00509	0.00483	0.13392
URBN	22.05839	2.06039	0.84098	0.41582	0.20467	0.0718	0.07024	0.02533	0.01148	0.00285	25.76195
USLM	0.64278	0.4196	0.17782	0.12766	0.09527	0.04779	0	0	0	0	1.51092
V	0.01697	0.01388	0.01176	0.00731	0.00697	0.00626	0.00589	0.00496	0.00465	0.00406	0.08271
VEEV	10.02584	9.03274	8.9037	3.66623	3.50629	1.83489	1.20432	1.17699	0.83496	0.38755	40.57351
VEOEY	0.00665	0.00294	0.00056	0.00056	0.0004	0.00031	0.00022	0.00018	0.00017	0.00015	0.01214
VMW	0.06571	0.04877	0.03519	0.03343	0.01695	0.00885	0.00829	0.00644	0.0064	0.00472	0.23475
VRTX	0.19697	0.10247	0.05224	0.05052	0.04116	0.03511	0.03069	0.02964	0.01774	0.01413	0.57067
VRX	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	0
VZ	0.00777	0.00178	0.00167	0.00143	0.00141	0.00138	0.00134	0.00125	0.00107	0.00097	0.02007
WAB	1.41421	0.56936	0.47732	0.14639	0.13586	0.12392	0.08522	0.07419	0.06742	0.05364	3.14753
WD	5.11403	3.49158	1.13523	0.39041	0.32936	0.21607	0.10516	0.08303	0.07933	0.06866	11.01286
WEC	0.04568	0.02218	0.01658	0.01092	0.00992	0.00799	0.00712	0.00571	0.00372	0.00355	0.13337
WETF	10.29123	4.66002	0.60978	0.38456	0.26002	0.18761	0.11843	0.11426	0.09797	0.08039	16.80427
WFC	0.03049	0.01623	0.01041	0.00974	0.00694	0.00586	0.00421	0.00408	0.00405	0.00353	0.09554
WFM	0.27329	0.25047	0.06654	0.05227	0.04608	0.04608	0.03987	0.02378	0.01925	0.01421	0.83184
WGO	0.32184	0.18605	0.14166	0.10754	0.09916	0.09161	0.08725	0.0716	0.07068	0.06983	1.24722
WPRT	14.16424	1.65466	0.20154	0.10707	0.09949	0.09037	0.08244	0.07879	0.06393	0.03983	16.58236
WSM	6.684	0.54364	0.36925	0.08226	0.0493	0.0428	0.03916	0.02881	0.02808	0.02522	7.89252
WSO	8.64782	0.74259	0.32384	0.29209	0.08495	0.04684	0.03931	0.02305	0.01627	0.01627	10.23303
WTR	0.05518	0.05094	0.04985	0.04071	0.03233	0.02689	0.01692	0.01655	0.01306	0.01146	0.31389
WWAV	1.38085	0.12193	0.10049	0.06597	0.04037	0.03818	0.03691	0.02572	0.01809	0.01456	1.84307
XHR	0.00327	0.00327	0.00327	0.00327	0.00327	0.00327	0.00327	0.00013	0.00013	0.00013	0.02328
