											sum
CRI	0.90383	0.18843	0.13859	0.13814	0.13602	0.09666	0.0853	0.07412	0.05259	0.0509	1.86458
CRM	5.74526	0.31561	0.02847	0.02001	0.01329	0.01102	0.00897	0.00797	0.00548	0.00419	6.16027
CROX	0.91117	0.71699	0.11964	0.10962	0.1056	0.10023	0.08347	0.06394	0.02092	0.01314	2.24472
CRTO	6.21308	3.19903	2.41292	1.06948	0.96569	0	0	0	0	0	13.8602
CRUS	0.1768	0.05578	0.04791	0.03934	0.03577	0.02867	0.02533	0.01725	0.0143	0.01299	0.45414
CSCO	0.03629	0.00899	0.00701	0.00446	0.00358	0.00345	0.00299	0.0026	0.00238	0.00191	0.07366
CSGP	1.01148	0.90628	0.49199	0.38168	0.12772	0.07501	0.07269	0.05062	0.03427	0.01193	3.16367
CSTE	0	0	0	0	0	0	0	0	0	0	0
CSX	0.0745	0.04736	0.03446	0.03335	0.02252	0.01869	0.01735	0.01353	0.01009	0.00983	0.28168
CTAS	17.07555	2.67056	0.15918	0.10712	0.08253	0.06525	0.02894	0.00909	0.00811	0.00698	20.21331
CTRE	2.08411	0.30242	0.24605	0.03854	0.03667	0.0354	0.01993	0	0	0	2.76312
CTRP	1.21131	0.97289	0.82361	0	0	0	0	0	0	0	3.00781
CTSH	0.15637	0.10366	0.06984	0.06105	0.04908	0.01415	0.01245	0.01223	0.00822	0.00733	0.49438
CVS	0.0458	0.01773	0.01129	0.0101	0.0081	0.00731	0.00662	0.00564	0.00549	0.00431	0.12239
CVT	10.346	6.64266	2.63919	1.93277	1.60462	1.59548	0.39867	0.39099	0.0231	0.02157	25.59505
CVX	0.01076	0.00536	0.00525	0.00221	0.00162	0.00157	0.00131	0.00129	0.00125	0.00105	0.03167
CWT	0.13142	0.12633	0.12616	0.11485	0.08854	0.06938	0.06126	0.06013	0.04859	0.04796	0.87462
CY	2.60516	0.33832	0.29699	0.24369	0.09441	0.09074	0.07795	0.0758	0.0523	0.04441	3.91977
D	0.17586	0.05396	0.02628	0.02437	0.02394	0.01227	0.00991	0.00812	0.00697	0.00632	0.348
DAR	0.72166	0.21813	0.1215	0.07941	0.06151	0.0574	0.04045	0.03751	0.0344	0.02434	1.39631
DASTY	6.17201	1.09125	0.03241	0.00081	0.00046	0.00024	0.0002	0.00012	0.00008	0	7.29758
DDD	2.15293	1.45735	0.39045	0.36297	0.18247	0.17442	0.11155	0.06967	0.05367	0.04472	5.0002
DECK	0.49173	0.30272	0.16279	0.15161	0.13934	0.12598	0.07913	0.0523	0.03542	0.03541	1.57643
DEO	0.13315	0.02768	0.0106	0.0073	0.00689	0.00676	0.00653	0.00421	0.00374	0.00317	0.21003
DGI	0.30887	0.21572	0.09025	0.08619	0.08502	0.08474	0.05738	0.04337	0.03787	0.03567	1.04508
DIS	7.67238	0.06818	0.015	0.00863	0.00683	0.00627	0.00189	0.00181	0.00176	0.00172	7.78447
DISCK	3.1348	0.31364	0.12104	0.10307	0.03786	0.02217	0.00861	0.00455	0.00416	0.00355	3.75345
DLB	36.62002	0.08534	0.05686	0.04815	0.03736	0.03409	0.03291	0.02983	0.02657	0.01986	36.99099
DLX	0.5138	0.11609	0.09346	0.08078	0.07445	0.06162	0.06045	0.05461	0.05174	0.04702	1.15402
DNOW	0.81139	0.39245	0.12293	0.09464	0.07012	0.03278	0.00825	0.00825	0.00825	0.00825	1.55731
DORM	12.23512	0.33574	0.21804	0.16692	0.08994	0.04344	0.04043	0.02813	0.0153	0.01047	13.18353
DPM	0.03091	0.02219	0.02074	0.01825	0.01406	0.01307	0.00985	0.00932	0.00907	0.00907	0.15653
DVN	5.0832	0.31726	0.14132	0.04191	0.03693	0.03425	0.0298	0.02683	0.02491	0.01961	5.75602
DW	0.76628	0.62888	0.53368	0.45393	0.28599	0.13191	0.12197	0.05401	0.01306	0.00876	2.99847
DWA	10.28249	6.03082	0.71099	0.21669	0.12831	0.08782	0.07359	0.07171	0.0337	0.03081	17.66693
DWSN	3.22291	1.58328	0.60492	0.53067	0.30401	0.20361	0.16558	0.148	0.13603	0.11702	7.01603
EBAY	7.88108	0.06763	0.04298	0.04257	0.02057	0.01854	0.01488	0.01125	0.01055	0.00648	8.11653
EBS	4.88937	0.2138	0.10709	0.08365	0.079	0.0743	0.04319	0.0385	0.0385	0.01711	5.58451
ECOL	0.21761	0.15372	0.1114	0.09318	0.06842	0.0554	0.02789	0.01902	0.01385	0.01385	0.77434
EDU	15.97208	0	0	0	0	0	0	0	0	0	15.97208
EEFT	3.87057	0.22636	0.1353	0.11695	0.08409	0.06911	0.06562	0.0329	0.03012	0.02999	4.66101
EEP	0.00641	0.00558	0.00241	0.00223	0.00112	0.00112	0.00061	0.00042	0.00016	0	0.02006
ELLI	1.71806	0.90762	0.61662	0.24538	0.19729	0.18152	0.12976	0.03188	0.02699	0.02144	4.07656
EMR	0.32897	0.12203	0.04507	0.03776	0.03756	0.02344	0.02008	0.01207	0.00787	0.00506	0.63991
ENOC	3.95826	3.92958	0.93896	0.8159	0.36153	0.32645	0.29837	0.26357	0.13965	0.11849	11.15076
EPAM	5.40255	0.03093	0.03093	0.0224	0.01636	0.01022	0.00818	0.00749	0.00217	0	5.53123
EPD	0.51149	0.09119	0.07868	0.06156	0.04472	0.0285	0.01965	0.00925	0.00876	0.00772	0.86152
EQC	2.18654	0.32342	0.06117	0.06117	0.0583	0.05286	0.03876	0.03161	0.02602	0.01092	2.85077
EQIX	0.27886	0.11738	0.09234	0.07543	0.02918	0.02781	0.01719	0.01453	0.01151	0.00659	0.67082
ERJ	0	0	0	0	0	0	0	0	0	0	0
ESRX	0.13344	0.01492	0.00704	0.0066	0.0059	0.00584	0.00384	0.00361	0.00354	0.00309	0.18782
EXEL	5.78548	0.66516	0.59056	0.17648	0.09354	0.0597	0.05482	0.04131	0.02925	0.02446	7.52076
F	0.28291	0.24615	0.19056	0.16627	0.1558	0.1029	0.02389	0.01193	0.01192	0.01155	1.20388
FAF	2.40978	0.95504	0.38387	0.12033	0.07699	0.0745	0.05025	0.03147	0.0249	0.0157	4.14283
FB	15.17864	2.45198	1.8955	1.74105	0.18965	0.07635	0.05978	0.0251	0.02446	0.02374	21.66625
FDS	1.87773	0.06236	0.05111	0.03544	0.01978	0.01767	0.01004	0.00889	0.00446	0.00294	2.09042
FDX	6.91606	0.07545	0.07162	0.03323	0.02477	0.02117	0.01791	0.01744	0.01664	0.01224	7.20653
FEIC	0.08511	0.06287	0.03883	0.03883	0.03101	0.03071	0.0268	0.02547	0.02133	0.01598	0.37694
FEYE	5.21302	2.06275	1.62574	0.70389	0.42631	0.17028	0.12052	0.09299	0.06579	0.0301	10.51139
FFNW	9.36297	0.82738	0.51539	0.50852	0.35278	0.29008	0.23551	0.13057	0.03281	0.01718	12.27319
FII	3.31124	2.84567	0.86709	0.55494	0.51056	0.33173	0.15728	0.05468	0.03713	0.03045	8.70077
FISI	2.96574	0.60154	0.28286	0.24007	0.18543	0.1416	0.13166	0.11567	0.10706	0.10474	4.87637
FIVE	1.18548	1.02023	0.50659	0.31137	0.09367	0.02958	0.01318	0.00497	0.00497	0.00417	3.17421
FLO	3.88125	3.73832	1.71533	1.20266	0.35899	0.28057	0.15696	0.14576	0.13875	0.1028	11.72139
FORM	0.32482	0.25218	0.13541	0.08611	0.06888	0.06544	0.06544	0.04843	0	0	1.04671
FOSL	12.60314	0.93982	0.04099	0.03068	0.02712	0.01963	0.01961	0.01485	0.01212	0.01182	13.71978
FTD	0.31588	0.13041	0.11022	0.10063	0.07333	0.07333	0.05361	0.05241	0.04848	0.03504	0.99334
FTI	0.15752	0.15377	0.07848	0.06384	0.06193	0.05556	0.05089	0.05089	0.04815	0.04352	0.76455
GBX	6.56703	0.34079	0.15091	0.1207	0.11981	0.09795	0.09161	0.07596	0.07383	0.07159	7.71018
GCI	0	0	0	0	0	0	0	0	0	0	0
GEOS	1.68865	0.37591	0.24338	0.1472	0.08785	0.07606	0.06232	0.04563	0.01103	0.01046	2.74849
GES	12.5952	10.86786	0.20045	0.09998	0.08328	0.04365	0.03073	0.0175	0.01318	0	23.95183
GHC	17.38115	2.92943	0.42287	0.25235	0.14014	0.09086	0.08571	0.06857	0.051	0.02829	21.45037
GHDX	0.94688	0.71659	0.26121	0.21524	0.11844	0.04378	0.03099	0.02402	0.02394	0.01956	2.40065
GILD	0.28612	0.15793	0.06986	0.05686	0.00947	0.00871	0.00612	0.00323	0.0031	0.00301	0.60441
GLW	0.05744	0.02244	0.01194	0.01111	0.01031	0.00861	0.00822	0.00721	0.00655	0.00612	0.14995
GM	2.17251	0.01064	0.00918	0.0065	0.00427	0.00324	0.00278	0.00232	0.00204	0.00179	2.21527
GMCR	4.93098	0.19726	0.07495	0.0584	0.038	0.0236	0.01494	0.01102	0.01068	0.00725	5.36708
GNCMA	5.34934	4.53317	4.53317	1.93078	1.46745	1.38641	0.91772	0.59477	0.29771	0.24213	21.25265
GNRC	0.9906	0.20969	0.11417	0.10467	0.05851	0.05032	0.04893	0.04204	0.03624	0.03159	1.68676
GNTX	2.50915	0.04762	0.02234	0.01326	0.00941	0.00916	0.0076	0.00591	0.00544	0.00435	2.63424
GOOG	6.40204	6.25575	0.36501	0.32158	0.042	0.00731	0.00573	0.00209	0.00163	0.00152	13.40466
GOOGL	6.40204	6.25575	0.36501	0.32158	0.042	0.00731	0.00573	0.00209	0.00163	0.00152	13.40466
GPRO	29.95136	3.95603	0.2061	0.09333	0.04645	0.04183	0.01478	0.01229	0.00402	0.00098	34.32717
GPT	1.06056	0.29606	0.08834	0.0831	0.07432	0.07323	0.03776	0.03647	0.01243	0.00174	1.76401
GTLS	0.82916	0.0845	0.08164	0.0332	0.02443	0.02431	0.01794	0.01703	0.01091	0.01027	1.13339
GWR	1.48818	0.68899	0.35388	0.19755	0.14559	0.079	0.07754	0.06592	0.06505	0.03198	3.19368
H	45.06769	7.27831	0.97881	0.28106	0.1169	0.09662	0.09429	0.06395	0.04806	0.03502	54.06071
HAIN	1.67711	0.12056	0.11975	0.05747	0.04756	0.04643	0.03788	0.02476	0.02027	0.01329	2.16508
HAL	0.07027	0.03478	0.03362	0.0223	0.02127	0.02037	0.01885	0.01836	0.01132	0.009	0.26014
HAS	8.70197	0.42244	0.32371	0.05196	0.05127	0.04732	0.0445	0.02562	0.02544	0.02462	9.71885
HCN	0.10981	0.02715	0.02515	0.02495	0.02479	0.01801	0.01765	0.01534	0.01488	0.01285	0.29058
HD	0.05811	0.0449	0.01481	0.00936	0.00513	0.00326	0.00296	0.00281	0.00276	0.00274	0.14684
HEI	8.28971	3.42151	1.28262	1.11274	0.46761	0.1288	0.02947	0.0155	0.0129	0.01129	14.77215
HHC	0.08887	0.07555	0.06629	0.04448	0.04303	0.04223	0.04157	0.03768	0.0302	0.0278	0.4977
HPY	1.55499	1.43371	0.28067	0.15791	0.12754	0.07591	0.06484	0.05245	0.03495	0.02132	3.80429
HTZ	0.5576	0.03787	0.03083	0.0256	0.02273	0.01834	0.01718	0.01614	0.01503	0.01156	0.75288
HY	20.23752	10.86081	4.16988	2.40326	2.12997	1.86282	1.62532	1.09833	0.86055	0.71852	45.96698
IBKR	1.96286	1.28068	0.97865	0.3122	0.27504	0.10175	0.01991	0.00685	0.0042	0	4.94214
ICE	1.02201	0.05574	0.03787	0.02536	0.01961	0.01738	0.01413	0.01155	0.00909	0.00688	1.21962
IDXX	1.05529	0.08362	0.05832	0.02752	0.02196	0.01522	0.01001	0.00806	0.00652	0.00635	1.29287
IIVI	9.71113	2.69414	1.28987	0.27446	0.18979	0.04841	0.04602	0.04391	0.04383	0.04208	14.38364
ILMN	0.49163	0.29785	0.06423	0.03475	0.03156	0.02893	0.02856	0.0122	0.00933	0.00912	1.00816
IMAX	11.84464	1.31607	0.79616	0.3662	0.19532	0.09432	0.0874	0.05806	0.02526	0.0186	14.80203
IMGN	0.16454	0.12399	0.03743	0.02901	0.02448	0.00441	0	0	0	0	0.38386
INFN	0.62452	0.56709	0.06707	0.0515	0.04292	0.02323	0.01932	0.01807	0.01682	0.01551	1.44605
ININ	17.18494	1.04842	0.60416	0.36202	0.30293	0.15388	0.09282	0.03566	0.03017	0.02702	19.84202
INTC	0.01205	0.00947	0.00727	0.00429	0.00305	0.00268	0.00217	0.00172	0.00158	0.00156	0.04584
INTU	4.79628	0.11246	0.05068	0.03047	0.0065	0.00605	0.00571	0.0054	0.00318	0.00194	5.01867
INVN	0.31887	0.02934	0.02616	0.02175	0.01047	0.00308	0.00199	0	0	0	0.41166
IPGP	1.69147	0.49379	0.1332	0.07614	0.04294	0.02987	0.02801	0.02201	0.02125	0.02108	2.55976
IRBT	1.72076	0.80637	0.27725	0.21283	0.13134	0.0776	0.0653	0.05789	0.05165	0.04907	3.45006
IRDM	13.07326	0.49792	0.40536	0.15839	0.15712	0.09636	0.0821	0.05991	0.05348	0.04691	14.63081
ISIS	0.61926	0.05172	0.02645	0.0068	0.00611	0.00523	0.00471	0.00403	0.00364	0.00338	0.73133
ISRG	0.91253	0.16302	0.01345	0.00868	0.00598	0.00547	0.0054	0.00458	0.00366	0.00347	1.12624
IT	1.42057	1.26378	0.15027	0.0891	0.08299	0.07072	0.06395	0.06043	0.05753	0.03577	3.29511
ITC	1.43905	0.11827	0.10078	0.07156	0.06959	0.02183	0.02007	0.01774	0.01591	0.01507	1.88987
ITW	2.96575	0.75981	0.74134	0.01663	0.01592	0.01218	0.00673	0.00627	0.00554	0.00516	4.53533
JASN	17.81872	0.62817	0.45232	0.44442	0.24465	0.17689	0.1175	0.11368	0.07188	0.06821	20.13644
JBT	0.76054	0.24055	0.23778	0.20538	0.17518	0.16171	0.15153	0.15003	0.14622	0.12784	2.35676
JLL	0.11468	0.11283	0.0962	0.06096	0.05465	0.04411	0.0281	0.02472	0.01671	0.01566	0.56862
JNJ	0.00414	0.00358	0.00341	0.00322	0.00266	0.00118	0.00099	0.00086	0.00071	0.00069	0.02144
JOBS	21.94147	3.03744	0	0	0	0	0	0	0	0	24.97891
JUNO	2.982	1.0577	1.02597	0.87549	0.27359	0.16416	0.15868	0.14026	0.10944	0.08208	6.86937
JWN	10.3743	2.88742	1.41059	1.3981	1.36283	0.39447	0.39018	0.03919	0.02883	0.0262	18.31211
KMB	0.17488	0.03289	0.02188	0.02009	0.01489	0.01129	0.00964	0.00827	0.00717	0.00658	0.30758
KMI	11.18856	1.30206	0.4362	0.34304	0.10671	0.0945	0.05136	0.02613	0.02263	0.01627	13.58746
KMX	0.25797	0.08126	0.03813	0.02837	0.02437	0.02112	0.01687	0.01544	0.01531	0.01507	0.51391
KNDI	27.6248	1.26347	0.07473	0.07473	0.00854	0	0	0	0	0	29.04627
KO	0.27672	0.26263	0.09195	0.05422	0.01514	0.0086	0.00753	0.00608	0.00458	0.00425	0.7317
L	5.51619	4.90683	4.24408	4.06421	2.36925	0.00458	0.00269	0.00162	0.00162	0.0016	21.11267
LBTYK	2.54925	0.23125	0.13763	0.1164	0.11137	0.08541	0.07783	0.05705	0.0565	0.04012	3.46281
LDL	0.80416	0.4621	0.40692	0.29175	0.25909	0.21372	0.17911	0.15701	0.14366	0.13468	3.0522
LF	4.33626	1.12599	0.76472	0.73715	0.53016	0.27692	0.19527	0.16067	0.10019	0.05523	8.28256
LFUS	0.2973	0.20984	0.12433	0.116	0.11387	0.08831	0.08239	0.0762	0.07567	0.06132	1.24523
LGF	2.97457	1.07453	0.85021	0.18247	0.16142	0.0979	0.08761	0.07195	0.0572	0.03896	5.59682
LILAK	0	0	0	0	0	0	0	0	0	0	0
LKQ	0.2836	0.14912	0.12468	0.08375	0.08109	0.06956	0.06539	0.06007	0.05629	0.03842	1.01197
LL	2.2488	0.1991	0.19559	0.13842	0.11158	0.10748	0.06904	0.05174	0.03218	0.02624	3.18017
LLTC	0.22277	0.20608	0.18781	0.17774	0.05345	0.04869	0.0478	0.0459	0.03906	0.03644	1.06574
LNKD	11.50316	0.53318	0.14619	0.11104	0.0676	0.03609	0.0314	0.02694	0.01035	0.00516	12.47111
LOCK	1.068	0.5191	0.30303	0.14906	0.09223	0.04674	0.02782	0.02782	0.02155	0.01856	2.27391
LPSN	8.31534	0.17528	0.01052	0.01052	0.01025	0	0	0	0	0	8.52191
LQDT	17.39173	1.95968	0.10927	0.08055	0.06901	0.04544	0.03253	0.01842	0.01804	0.01187	19.73654
LUK	6.27144	3.07341	1.432	0.05568	0.02746	0.02451	0.01482	0.0135	0.01176	0.0082	10.93278
LULU	6.91407	0.05962	0.02191	0.01764	0.01452	0.01425	0.00991	0.0071	0.00695	0.00651	7.07248
MA	0.02089	0.01009	0.00497	0.00442	0.00437	0.00417	0.00411	0.00381	0.0038	0.0036	0.06423
MANH	0.1829	0.16843	0.15651	0.11497	0.10083	0.09829	0.06914	0.06913	0.04397	0.03165	1.03582
MANT	35.1313	0.05332	0.0456	0.04527	0.04527	0.02397	0.01702	0.01598	0.00799	0.00054	35.38626
MCK	0.25575	0.03135	0.01608	0.00771	0.00356	0.001	0.00091	0.00035	0.00034	0.00017	0.31722
MELI	0.21063	0.05012	0.04164	0.02345	0.01403	0.00811	0.00533	0.00178	0	0	0.35509
MG	39.7751	0.72513	0.58772	0.21341	0.15738	0.10592	0.09018	0.06545	0.04671	0.04058	41.80758
MGRC	5.19117	1.48388	0.17079	0.14956	0.12558	0.09491	0.09159	0.08961	0.06066	0.05195	7.5097
MHLD	11.84446	5.0701	2.31431	0.47338	0.27227	0.24986	0.08849	0.07447	0.0497	0.02985	20.46689
MIDD	0.98284	0.42506	0.15644	0.08839	0.08417	0.06088	0.05669	0.03053	0.02425	0.00436	1.91361
MINI	0.29177	0.23764	0.1756	0.10718	0.10249	0.08884	0.07228	0.05927	0.05601	0.03284	1.22392
MKC	0.79246	0.18946	0.0809	0.0489	0.04656	0.03968	0.03956	0.03711	0.03374	0.03261	1.34098
MKL	1.17224	0.81512	0.23628	0.1661	0.14686	0.07571	0.0581	0.04171	0.04042	0.03884	2.79138
MKTX	2.92616	0.13968	0.11885	0.10974	0.09244	0.08348	0.06546	0.0476	0.01551	0.01551	3.61443
MMP	0.09584	0.07443	0.04072	0.02675	0.0252	0.01344	0.01144	0.00989	0.00965	0.00801	0.31537
MNST	0.88324	0.77712	0.12922	0.009	0.00749	0.0063	0.00238	0.00157	0	0	1.81632
MNTA	0.8219	0.58168	0.21552	0.17627	0.15844	0.14869	0.10342	0.05835	0.02244	0.01981	2.30652
MOD	6.97987	0.62941	0.38271	0.17786	0.16225	0.13789	0.13269	0.09777	0.09556	0.08194	8.87795
MOG.A	0.48931	0.19893	0.13894	0.12812	0.09941	0.07606	0.06341	0.05391	0.05163	0.04748	1.3472
MOV	8.92769	2.42391	1.4429	1.13917	0.13002	0.12014	0.11935	0.10333	0.09095	0.06068	14.55814
MRH	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	0
MSA	16.15823	9.32976	0.53553	0.15758	0.15387	0.11914	0.11568	0.11144	0.09985	0.08113	26.86221
MSFT	4.16674	2.79343	0.01151	0.00838	0.00752	0.00564	0.00394	0.00324	0.00289	0.00267	7.00596
MSM	13.06447	4.15916	2.53486	1.79297	0.25886	0.05378	0.0291	0.02736	0.02581	0.02489	21.97126
MSTR	17.70089	0.02963	0.0264	0.00528	0.00176	0.00053	0	0	0	0	17.76449
MTH	3.87799	0.53715	0.1536	0.14372	0.13615	0.12985	0.12355	0.09783	0.09329	0.0735	5.36663
MTN	0.7518	0.16374	0.07729	0.05446	0.05083	0.04214	0.03322	0.02747	0.02628	0.01659	1.24382
MTZ	13.12049	6.40288	0.20071	0.11885	0.11349	0.07882	0.06769	0.04249	0.02838	0.02396	20.19776
N	40.65866	4.28448	2.91568	2.81541	1.14292	0.26678	0.08851	0.0313	0.01269	0.01211	52.22854
NATI	10.34032	1.61163	0.06658	0.06002	0.0576	0.03761	0.02422	0.01876	0.00593	0.00396	12.22663
NCR	0.25821	0.05884	0.03901	0.03851	0.03647	0.03041	0.01869	0.01765	0.01666	0.01591	0.53036
NDAQ	0.12413	0.10183	0.05652	0.03763	0.03435	0.03149	0.03125	0.0286	0.02569	0.02523	0.49672
NDSN	2.76638	2.30138	0.05766	0.0546	0.05392	0.05032	0.03879	0.03476	0.03196	0.03012	5.41989
NFLX	1.53088	0.11303	0.10099	0.01315	0.01053	0.00859	0.00826	0.00307	0	0	1.7885
NGG	0.07146	0.04536	0.03147	0.01716	0.0136	0.00213	0.00094	0.00039	0.00016	0.00013	0.1828
NILE	1.16847	0.59847	0.13018	0.12082	0.1078	0.08421	0.08228	0.08006	0.05757	0.04858	2.47844
NKE	3.93081	0.05284	0.03656	0.02107	0.01959	0.01162	0.00494	0.00364	0.00308	0.0027	4.08685
NOV	0.03467	0.01866	0.01472	0.01264	0.01228	0.01185	0.01011	0.01006	0.00816	0.00309	0.13624
NSAM	0.87855	0.48596	0.36688	0.11644	0.08036	0.04992	0.02508	0.02299	0.02135	0.01808	2.06561
NSH	19.27268	0.1349	0.11472	0.06827	0.04756	0.03209	0.01555	0.00297	0.00297	0.00285	19.69456
NTES	44.55298	0	0	0	0	0	0	0	0	0	44.55298
